session_id,label,label_id,total_keystrokes,duration_ms,avg_dwell_time,std_dwell_time,min_dwell_time,max_dwell_time,avg_flight_time,std_flight_time,min_flight_time,max_flight_time,zero_dwell_ratio,zero_flight_ratio,pause_count,pause_ratio,backspace_ratio,tab_ratio,ctrl_ratio,symbol_ratio,long_pause_count,avg_long_pause,burst_count
11073,copy_paste_hybrid,3,162,14539.237884816432,94.39144107738454,28.066473019440323,20.394790374471725,172.41383683454697,89.86879978130113,74.23274069843563,2.004147941116869,643.1775312661387,0.5061728395061729,0.5031055900621118,1,0.0062111801242236,0.0,0.0,0.0061728395061728,0.0,1,643.1775312661387,16
8507,ai_assisted,2,138,12053.48005583912,44.77618435634834,51.35682959985471,0.0917490831183853,175.14501042996335,43.20676129231284,55.88515794167642,0.024232344922469,313.458874108144,0.0,0.0,1,0.0072992700729927,0.0,0.0072463768115942,0.0,0.0,0,0.0,10
12248,copy_paste_hybrid,3,248,18772.338555383623,97.91712686983688,27.52222304709722,37.16334946706607,180.97741603791528,102.00685377409395,122.48286834481657,7.261293125632676,771.8765181094157,0.6209677419354839,0.611336032388664,3,0.0121457489878542,0.0,0.0,0.0120967741935483,0.0,3,724.0484796018573,16
714,human_organic,0,66,18161.455459717483,99.11938862440113,30.24479334791173,34.627222386476504,193.12743848617916,178.7627047770309,339.4566473247413,12.055427697106438,1754.267893903892,0.0,0.0,5,0.0769230769230769,0.0454545454545454,0.0,0.0,0.0,5,1310.5269254546154,12
3429,human_organic,0,125,36009.26447965515,99.94168858751314,29.603893503916492,39.99481352226817,181.32357875100723,189.64962424367744,446.12102580982327,10.0,2804.76216258046,0.0,0.0,10,0.0806451612903225,0.088,0.0,0.0,0.0,10,1500.9988519715266,28
1192,human_organic,0,269,62795.84012692856,101.7760587975321,32.510073832832525,25.732375922420403,208.16771346635505,132.15701608355383,319.8403656902476,10.0,2726.9291625986834,0.0,0.0,8,0.0298507462686567,0.0743494423791821,0.0,0.0,0.0,8,1811.7863076865715,47
13793,human_nonnative,4,157,61592.78176178249,150.70608407231484,35.948986404349654,46.133359387487246,227.88449028586552,243.15337540018632,379.4369174764877,20.0,1930.8465370265224,0.0,0.0,17,0.1089743589743589,0.1273885350318471,0.0,0.0,0.0,16,1278.2827627140823,11
3794,human_organic,0,82,14652.647165558454,97.52056479032932,30.10791281225504,25.76020998970958,172.21569296092403,82.17235620680803,80.70030665642845,10.0,726.0647967742185,0.0,0.0,1,0.0123456790123456,0.024390243902439,0.0,0.0,0.0,1,726.0647967742185,19
1366,human_organic,0,157,52223.34049898997,99.48757076295804,30.666766617040945,20.0,187.44156985617343,234.63969159747157,584.9019694852242,10.0,2944.40219050358,0.0,0.0,11,0.0705128205128205,0.0318471337579617,0.0,0.0,0.0,11,2259.781913715772,26
7500,paste,1,284,2033.602984738764,92.8827605165006,29.1001401756134,28.323721970476825,144.84148877520315,93.71185757484348,47.02250047249095,8.577838229451643,155.6187172045159,0.9577464788732394,0.96113074204947,1,0.0035335689045936,0.0,0.0,0.0035211267605633,0.0,0,0.0,4
3417,human_organic,0,52,12444.135323648576,103.13591369042646,29.718954052618304,24.112041233476845,157.92962052900623,138.84446689698825,305.3682529839998,10.0,2279.304778888035,0.0,0.0,1,0.0196078431372549,0.0384615384615384,0.0,0.0,0.0,1,2279.304778888035,4
8103,ai_assisted,2,73,6692.005529719642,46.73683392353578,52.48357764900978,0.0756236677903193,161.13516946057953,47.53623328861407,91.1040227357574,0.1234004326340304,680.0529130068542,0.0,0.0,1,0.0138888888888888,0.0,0.0136986301369863,0.0,0.0,1,680.0529130068542,7
11459,copy_paste_hybrid,3,219,12127.841850183651,98.23134140668807,29.252801031096663,34.79289130243117,171.66921950088403,92.80105221191104,79.63017100568962,6.593779359383575,480.516416919104,0.7123287671232876,0.7064220183486238,2,0.0091743119266055,0.0,0.0,0.0091324200913242,0.0,0,0.0,13
3181,human_organic,0,53,20915.788009382628,101.60069321977736,26.42694184244725,20.0,169.27800781472132,298.6721397833544,671.2783276738155,19.08128169748905,2876.226482100953,0.0,0.0,5,0.0961538461538461,0.0754716981132075,0.0,0.0,0.0,5,2320.0837309890826,6
13294,human_nonnative,4,78,23097.6104457658,158.51873511959053,39.27636877628405,75.40219024930815,272.77066493911974,139.3915468368537,172.8514781449026,20.0,1591.318669980768,0.0,0.0,1,0.0129870129870129,0.1025641025641025,0.0,0.0,0.0,1,1591.318669980768,6
16954,human_coding,5,297,147456.69196866424,88.61779287519511,24.36526648722372,27.249757167978142,159.90403116686576,409.2473225835517,1005.0491588008776,5.0,4850.336948150974,0.0,0.0,34,0.1148648648648648,0.0,0.0639730639730639,0.0,0.2525252525252525,34,3035.6569582015286,53
13176,human_nonnative,4,80,23087.648754552432,147.1230066285767,42.474871286692505,40.0,236.69315910440235,143.26339524387717,125.04727782475122,20.286843679891803,1060.0604240952898,0.0,0.0,2,0.0253164556962025,0.125,0.0,0.0,0.0,2,844.7337825807938,4
8265,ai_assisted,2,135,9469.99613708085,37.57072752957329,49.81964074128173,0.0066932401842317,173.65727561233598,33.61601790632315,49.724783100836326,0.0869172074981827,218.7999570536671,0.0,0.0,1,0.0074626865671641,0.0,0.0074074074074074,0.0,0.0,0,0.0,10
11018,copy_paste_hybrid,3,258,18820.909476623317,98.357646960022,31.33985452533197,20.211379413876244,193.2866793389881,93.94054847058042,85.26870064556256,0.3187186515861242,784.6895996133327,0.6201550387596899,0.6108949416342413,3,0.0116731517509727,0.0,0.0,0.0116279069767441,0.0,1,784.6895996133327,20
17117,human_coding,5,242,113841.15074016732,91.65947929222146,24.6927570837604,15.0,167.87654791006997,380.33011100186616,985.468815286138,5.0,4785.185547470591,0.0,0.0,24,0.0995850622406639,0.0,0.0578512396694214,0.0,0.1611570247933884,24,3168.373416821921,43
17252,human_coding,5,250,102068.5289815074,91.09411759795994,23.67253817751866,27.63627057463028,179.45444730506927,318.4538135823993,883.1819724390251,5.0,4922.486262641063,0.0,0.0,22,0.0883534136546184,0.0,0.064,0.0,0.24,22,2875.8950140790103,55
11297,copy_paste_hybrid,3,115,20624.646505777808,99.11746980907216,30.54364324983067,7.779403524937365,167.38406220939555,83.69566519482056,73.32675861995241,4.705480372109477,746.475672968993,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,746.475672968993,20
